id,assist,chance_created,goals_score,goals_conceded,total_points,price
544,0,0,0,40,3,43
545,0,0,0,0,0,45
546,0,0,0,0,0,40
547,0,16,40,190,48,61
548,0,2,0,60,8,43
549,0,0,0,0,0,45
550,0,0,0,0,0,45
551,0,1,0,20,1,52
552,10,6,0,20,8,54
553,0,0,0,0,0,44
554,30,14,30,130,40,52
555,0,0,0,0,0,40
556,0,3,0,60,7,44
557,30,17,30,80,39,56
558,0,0,0,0,0,45
559,10,10,10,120,18,50
560,0,5,10,150,21,55
561,0,5,0,40,6,50
562,0,0,0,0,0,40
563,0,1,0,10,3,45
564,0,0,10,80,26,54
565,0,0,0,0,0,44
566,0,0,0,0,0,44
567,0,0,0,130,37,50
568,0,1,10,110,40,50
569,0,0,0,0,0,39
570,20,23,10,130,48,55
571,0,1,0,10,7,52
572,40,28,60,110,61,82
573,0,1,0,70,14,49
574,0,0,0,0,1,44
575,10,2,0,10,8,58
576,0,0,0,0,1,44
577,10,14,0,100,19,48
578,30,24,30,120,57,64
579,60,29,20,130,55,63
580,30,17,10,130,41,50
581,10,9,10,130,35,58
582,20,27,40,130,51,60
583,0,0,0,0,0,43
584,0,4,10,30,23,40
585,0,0,0,0,0,48
586,0,0,0,0,0,40
587,0,0,0,0,0,45
588,0,0,0,0,0,40
589,0,1,0,10,5,58
590,0,0,0,0,0,44
591,0,0,0,0,0,40
592,0,24,0,110,24,50
593,0,0,0,0,0,50
594,0,0,0,0,0,49
595,0,1,10,120,32,45
596,30,26,20,100,43,77
597,0,4,10,120,30,50
598,20,7,0,80,29,44
599,0,0,0,0,0,45
600,10,4,0,30,13,48
601,10,19,0,80,22,58
602,0,20,10,120,25,54
603,0,10,0,100,26,49
604,10,4,0,30,13,55
605,0,3,10,120,31,45
606,0,0,0,0,1,45
607,0,0,0,0,0,64
608,0,0,0,0,0,45
609,0,2,0,20,3,39
610,0,0,0,0,0,40
611,0,1,0,0,7,57
612,0,0,0,0,0,45
613,0,0,0,0,0,44
614,0,11,0,70,18,58
615,10,4,0,30,12,43
616,10,3,0,120,40,50
617,0,0,0,0,0,50
618,0,0,0,0,0,45
619,0,0,0,0,0,45
620,0,0,0,0,0,40
621,0,6,40,70,38,58
622,0,0,0,0,0,40
623,0,0,0,0,0,40
