id,name,team,position,assist,chance_created,goals_score,goals_conceded,total_points,price,code
211,Tyrick Mitchell,Crystal Palace,Defenders,1,127,0,14,38,45,244723
212,Will Hughes,Crystal Palace,Midfielders,0,0,0,0,0,47,108413
213,Michael Olise,Crystal Palace,Midfielders,2,81,1,3,19,54,443661
214,Joel Ward,Crystal Palace,Defenders,0,42,0,14,32,45,55494
215,Marc Guéhi,Crystal Palace,Defenders,0,24,0,14,34,45,209036
216,Joachim Andersen,Crystal Palace,Defenders,0,53,0,12,31,45,174874
217,Nathaniel Clyne,Crystal Palace,Defenders,0,0,0,0,0,43,57328
218,Reece Hannam,Crystal Palace,Defenders,0,0,0,0,0,40,223824
219,Jesurun Rak-Sakyi,Crystal Palace,Midfielders,0,5,0,0,1,45,450542
220,Robert Street,Crystal Palace,Forwards,0,0,0,0,0,45,448482
221,Scott Banks,Crystal Palace,Midfielders,0,0,0,0,0,45,462831
222,Remi Matthews,Crystal Palace,Goalkeepers,0,0,0,0,0,40,169593
223,Odsonne Edouard,Crystal Palace,Forwards,0,87,3,6,30,65,199670
224,Fabian Delph,Everton,Midfielders,0,16,0,0,2,44,41823
225,Gylfi Sigurdsson,Everton,Midfielders,0,0,0,0,0,68,55422
226,Seamus Coleman,Everton,Defenders,1,69,0,12,22,49,59949
227,James Rodríguez,Everton,Midfielders,0,0,0,0,0,69,60025
228,Bernard Anício Caldeira Duarte,Everton,Midfielders,0,0,0,0,0,55,100649
229,Lucas Digne,Everton,Defenders,0,266,0,14,24,51,101188
230,Michael Keane,Everton,Defenders,2,64,1,16,47,50,106611
231,Jordan Pickford,Everton,Goalkeepers,0,13,0,13,32,50,111234
232,Allan Marques Loureiro,Everton,Midfielders,2,127,0,15,32,46,119765
233,André Filipe Tavares Gomes,Everton,Midfielders,0,18,0,3,3,49,120250
234,Abdoulaye Doucouré,Everton,Midfielders,4,121,2,9,45,54,121599
235,Alex Iwobi,Everton,Midfielders,1,119,1,12,25,58,153133
236,Yerry Mina,Everton,Defenders,0,1,0,7,12,49,164511
237,Tom Davies,Everton,Midfielders,0,8,1,5,11,49,173807
238,Dominic Calvert-Lewin,Everton,Forwards,0,40,3,3,23,80,177815
