id,assist,chance_created,goals_score,total_points,saves,clean_sheet
542,0,0,0,0,10,0
543,0,0,0,2,10,0
544,0,0,0,3,10,0
545,0,0,0,0,10,0
546,0,0,0,0,10,0
547,0,31,40,48,10,0
548,0,4,0,8,10,0
549,0,0,0,0,10,0
550,0,0,0,0,10,0
551,0,2,0,1,10,0
552,10,12,0,8,10,0
553,0,0,0,0,10,0
554,30,28,30,40,10,10
555,0,0,0,0,10,0
556,0,6,0,7,10,0
557,30,35,30,39,10,0
558,0,0,0,0,10,0
559,10,19,10,18,10,0
560,0,9,10,21,10,10
561,0,10,0,6,10,0
562,0,0,0,0,10,0
563,0,2,0,3,10,0
564,0,1,10,26,10,20
565,0,0,0,0,10,0
566,0,0,0,0,10,0
567,0,0,0,37,310,30
568,0,1,10,40,10,30
569,0,0,0,0,10,0
570,20,46,10,48,10,30
571,0,3,0,7,10,0
572,40,55,60,61,10,30
573,0,3,0,14,10,10
574,0,0,0,1,10,0
575,10,3,0,8,10,0
576,0,0,0,1,10,0
577,10,27,0,19,10,10
578,30,47,30,57,10,30
579,60,58,20,55,10,30
580,30,34,10,41,10,30
581,10,18,10,35,10,30
582,20,54,40,51,10,30
583,0,0,0,0,10,0
584,0,8,10,23,10,20
585,0,0,0,0,10,0
586,0,0,0,0,10,0
587,0,0,0,0,10,0
588,0,0,0,0,10,0
589,0,3,0,5,10,0
590,0,0,0,0,10,0
591,0,0,0,0,10,0
592,0,48,0,24,10,30
593,0,0,0,0,10,0
594,0,0,0,0,10,0
595,0,1,10,32,10,20
596,30,51,20,43,10,20
597,0,7,10,30,10,20
598,20,13,0,29,10,20
599,0,0,0,0,10,0
600,10,8,0,13,10,10
601,10,38,0,22,10,20
602,0,39,10,25,10,10
603,0,19,0,26,10,20
604,10,8,0,13,10,10
605,0,7,10,31,10,20
606,0,0,0,1,10,0
607,0,0,0,0,10,0
608,0,0,0,0,10,0
609,0,3,0,3,10,0
610,0,0,0,0,10,0
611,0,2,0,7,10,0
612,0,0,0,0,10,0
613,0,0,0,0,10,0
614,0,21,0,18,10,20
615,10,8,0,12,10,10
616,10,6,0,40,360,20
617,0,0,0,0,10,0
618,0,0,0,0,10,0
619,0,0,0,0,10,0
620,0,0,0,0,10,0
621,0,11,40,38,10,10
622,0,0,0,0,10,0
623,0,0,0,0,10,0
