id,price,goals_conceded,price_fall,yellow_card,min_per_goal,min_per_assist
0.0,46.0,90.0,90.0,20.0,54.0,54.0
1.0,40.0,0.0,50.0,20.0,0.0,0.0
2.0,63.0,0.0,70.0,20.0,0.0,0.0
3.0,101.0,80.0,40.0,60.0,31.52,78.8
4.0,42.0,70.0,80.0,40.0,37.6,37.6
5.0,83.0,20.0,70.0,20.0,26.4,52.8
6.0,49.0,100.0,60.0,20.0,59.0,59.0
7.0,42.0,40.0,80.0,40.0,36.0,36.0
8.0,48.0,0.0,70.0,20.0,0.0,0.0
9.0,42.0,70.0,80.0,20.0,34.0,34.0
10.0,43.0,50.0,70.0,40.0,18.2,18.2
11.0,45.0,20.0,50.0,20.0,9.8,9.8
12.0,53.0,20.0,70.0,20.0,45.2,45.2
13.0,42.0,70.0,80.0,40.0,36.0,36.0
14.0,50.0,40.0,50.0,60.0,54.2,108.4
15.0,48.0,120.0,70.0,20.0,136.4,136.4
16.0,70.0,60.0,100.0,20.0,96.4,32.13333333333333
17.0,45.0,0.0,50.0,20.0,0.0,0.0
18.0,54.0,0.0,60.0,20.0,0.0,0.0
19.0,58.0,130.0,20.0,20.0,35.56,59.266666666666666
20.0,63.0,80.0,70.0,40.0,80.0,40.0
21.0,51.0,40.0,40.0,40.0,72.0,144.0
22.0,45.0,0.0,50.0,20.0,0.0,0.0
23.0,45.0,0.0,50.0,20.0,0.0,0.0
24.0,52.0,30.0,80.0,20.0,31.8,15.9
25.0,45.0,0.0,50.0,20.0,0.0,0.0
26.0,44.0,60.0,60.0,40.0,162.0,162.0
27.0,43.0,10.0,70.0,40.0,63.4,63.4
28.0,48.0,60.0,70.0,100.0,133.0,133.0
29.0,48.0,10.0,70.0,20.0,13.8,13.8
30.0,50.0,10.0,50.0,20.0,3.8,3.8
31.0,40.0,0.0,50.0,20.0,0.0,0.0
32.0,55.0,70.0,50.0,40.0,54.3,108.6
33.0,47.0,40.0,30.0,20.0,144.0,144.0
34.0,40.0,0.0,50.0,20.0,0.0,0.0
35.0,46.0,40.0,40.0,40.0,138.2,138.2
36.0,40.0,30.0,50.0,20.0,18.0,18.0
37.0,49.0,0.0,60.0,20.0,0.0,0.0
38.0,55.0,170.0,50.0,40.0,180.0,180.0
39.0,45.0,0.0,50.0,20.0,0.0,0.0
40.0,57.0,10.0,80.0,20.0,10.6,5.3
41.0,50.0,0.0,50.0,20.0,0.0,0.0
42.0,58.0,190.0,70.0,100.0,56.6,84.9
43.0,44.0,60.0,60.0,20.0,26.1,52.2
44.0,54.0,0.0,60.0,20.0,0.0,0.0
45.0,49.0,170.0,60.0,100.0,169.6,56.53333333333334
46.0,47.0,190.0,80.0,60.0,165.0,82.5
47.0,73.0,160.0,70.0,60.0,48.733333333333334,73.1
48.0,45.0,120.0,50.0,20.0,70.4,70.4
49.0,56.0,60.0,90.0,60.0,34.8,69.6
50.0,62.0,110.0,80.0,40.0,54.0,54.0
51.0,51.0,170.0,40.0,60.0,97.3,194.6
52.0,49.0,190.0,60.0,20.0,171.4,171.4
53.0,45.0,0.0,50.0,20.0,0.0,0.0
54.0,54.0,0.0,60.0,20.0,0.2,0.2
55.0,55.0,0.0,50.0,20.0,0.0,0.0
56.0,44.0,0.0,60.0,20.0,2.2,2.2
57.0,45.0,80.0,50.0,60.0,136.8,45.6
58.0,45.0,80.0,50.0,60.0,51.2,102.4
59.0,47.0,100.0,80.0,20.0,70.4,70.4
60.0,45.0,100.0,50.0,40.0,99.4,99.4
61.0,77.0,140.0,80.0,40.0,37.95,50.6
62.0,64.0,60.0,60.0,40.0,29.0,14.5
63.0,45.0,0.0,50.0,20.0,0.0,0.0
64.0,50.0,0.0,50.0,20.0,0.8,0.8
65.0,45.0,10.0,50.0,20.0,12.4,12.4
66.0,45.0,0.0,50.0,20.0,4.8,4.8
67.0,40.0,0.0,50.0,20.0,0.0,0.0
68.0,40.0,0.0,50.0,20.0,0.0,0.0
69.0,47.0,140.0,30.0,40.0,196.2,49.05
70.0,50.0,140.0,50.0,80.0,97.7,97.7
71.0,67.0,140.0,30.0,60.0,66.0,66.0
72.0,51.0,0.0,90.0,20.0,0.0,0.0
73.0,45.0,90.0,50.0,20.0,162.0,162.0
74.0,55.0,130.0,50.0,80.0,90.4,90.4
75.0,53.0,0.0,70.0,20.0,0.0,0.0
76.0,45.0,140.0,50.0,40.0,95.2,190.4
77.0,50.0,60.0,50.0,40.0,57.8,115.6
78.0,53.0,10.0,70.0,40.0,19.4,19.4
79.0,49.0,100.0,60.0,20.0,86.0,43.0
80.0,39.0,10.0,60.0,40.0,15.6,15.6
81.0,53.0,40.0,70.0,20.0,34.2,34.2
82.0,43.0,10.0,70.0,20.0,11.4,11.4
83.0,43.0,0.0,70.0,20.0,3.8,3.8
84.0,47.0,110.0,30.0,20.0,89.7,89.7
85.0,40.0,0.0,50.0,20.0,0.0,0.0
86.0,45.0,0.0,50.0,20.0,0.0,0.0
87.0,39.0,0.0,60.0,20.0,0.0,0.0
88.0,54.0,0.0,60.0,20.0,0.0,0.0
89.0,56.0,100.0,40.0,40.0,55.13333333333334,165.4
90.0,45.0,0.0,50.0,20.0,4.2,4.2
91.0,49.0,110.0,60.0,40.0,106.2,106.2
92.0,45.0,60.0,50.0,40.0,113.0,113.0
93.0,44.0,0.0,60.0,20.0,0.0,0.0
94.0,49.0,0.0,60.0,20.0,37.6,37.6
95.0,59.0,0.0,60.0,20.0,3.8,11.4
96.0,45.0,50.0,50.0,20.0,36.0,36.0
97.0,40.0,0.0,50.0,20.0,0.0,0.0
98.0,45.0,100.0,50.0,60.0,42.6,85.2
99.0,45.0,0.0,50.0,20.0,0.0,0.0
100.0,40.0,0.0,50.0,20.0,0.0,0.0
101.0,54.0,110.0,60.0,100.0,177.6,88.8
102.0,40.0,0.0,50.0,20.0,0.0,0.0
103.0,59.0,70.0,60.0,20.0,123.4,41.13333333333333
104.0,44.0,80.0,10.0,100.0,90.0,90.0
105.0,45.0,0.0,50.0,20.0,0.0,0.0
106.0,44.0,40.0,60.0,40.0,60.2,60.2
107.0,50.0,120.0,50.0,20.0,198.0,198.0
108.0,53.0,80.0,70.0,40.0,104.8,52.4
109.0,44.0,30.0,60.0,40.0,64.2,64.2
110.0,44.0,100.0,60.0,100.0,146.6,73.3
111.0,65.0,90.0,50.0,80.0,30.24,151.2
112.0,65.0,120.0,50.0,40.0,47.8,95.6
113.0,45.0,0.0,50.0,20.0,0.0,0.0
114.0,55.0,0.0,50.0,20.0,0.0,0.0
115.0,40.0,0.0,50.0,20.0,0.0,0.0
116.0,46.0,120.0,40.0,60.0,198.0,198.0
117.0,44.0,70.0,60.0,60.0,117.4,58.7
118.0,44.0,20.0,60.0,40.0,32.4,32.4
119.0,53.0,0.0,70.0,20.0,11.8,11.8
120.0,48.0,10.0,70.0,20.0,18.0,18.0
121.0,54.0,30.0,60.0,20.0,19.066666666666666,28.6
122.0,45.0,80.0,50.0,40.0,100.8,50.4
123.0,60.0,20.0,50.0,20.0,23.8,47.6
124.0,59.0,40.0,60.0,40.0,25.8,25.8
125.0,45.0,0.0,50.0,20.0,0.0,0.0
126.0,50.0,0.0,50.0,20.0,0.0,0.0
127.0,45.0,0.0,50.0,20.0,0.0,0.0
128.0,40.0,0.0,50.0,20.0,0.0,0.0
129.0,45.0,0.0,50.0,20.0,3.4,3.4
130.0,45.0,0.0,50.0,20.0,0.0,0.0
131.0,40.0,0.0,50.0,20.0,0.0,0.0
132.0,50.0,90.0,50.0,60.0,137.2,137.2
133.0,44.0,0.0,60.0,20.0,0.0,0.0
134.0,45.0,0.0,50.0,20.0,0.0,0.0
135.0,49.0,170.0,60.0,100.0,99.0,198.0
136.0,39.0,0.0,60.0,20.0,0.0,0.0
137.0,43.0,20.0,70.0,20.0,20.6,20.6
138.0,45.0,80.0,50.0,40.0,62.8,62.8
139.0,45.0,0.0,50.0,20.0,0.0,0.0
140.0,40.0,0.0,50.0,20.0,0.0,0.0
141.0,53.0,0.0,70.0,60.0,41.6,20.8
142.0,53.0,100.0,70.0,60.0,75.6,75.6
143.0,49.0,130.0,60.0,40.0,72.0,144.0
144.0,53.0,150.0,70.0,100.0,180.0,45.0
145.0,54.0,110.0,60.0,60.0,125.0,62.5
146.0,67.0,170.0,80.0,40.0,60.666666666666664,182.0
147.0,44.0,170.0,60.0,40.0,99.0,49.5
148.0,52.0,30.0,80.0,20.0,21.4,21.4
149.0,54.0,170.0,60.0,20.0,198.0,198.0
150.0,44.0,150.0,60.0,20.0,180.0,90.0
151.0,44.0,0.0,60.0,20.0,0.0,0.0
152.0,44.0,150.0,60.0,100.0,182.2,182.2
153.0,45.0,0.0,50.0,20.0,0.0,0.0
154.0,45.0,0.0,50.0,20.0,0.0,0.0
155.0,58.0,170.0,70.0,40.0,194.8,97.4
156.0,43.0,40.0,70.0,20.0,54.0,54.0
157.0,45.0,0.0,50.0,20.0,0.0,0.0
158.0,45.0,0.0,50.0,20.0,0.0,0.0
159.0,40.0,0.0,50.0,20.0,0.0,0.0
160.0,40.0,0.0,50.0,20.0,0.0,0.0
161.0,50.0,10.0,50.0,40.0,20.6,20.6
162.0,60.0,50.0,50.0,60.0,14.559999999999999,72.8
163.0,45.0,0.0,50.0,20.0,0.0,0.0
164.0,59.0,30.0,60.0,20.0,126.0,31.5
165.0,65.0,0.0,50.0,20.0,0.0,0.0
166.0,55.0,30.0,50.0,40.0,64.6,129.2
167.0,56.0,20.0,40.0,60.0,53.5,53.5
168.0,58.0,30.0,70.0,20.0,73.6,73.6
169.0,52.0,0.0,80.0,20.0,25.0,25.0
170.0,52.0,20.0,30.0,40.0,70.2,23.4
171.0,55.0,0.0,50.0,20.0,0.0,0.0
172.0,59.0,40.0,10.0,60.0,90.0,90.0
173.0,48.0,0.0,70.0,20.0,18.0,18.0
174.0,49.0,30.0,60.0,40.0,40.4,80.8
175.0,73.0,0.0,70.0,40.0,36.2,36.2
176.0,54.0,20.0,60.0,20.0,51.0,12.75
177.0,50.0,30.0,50.0,40.0,144.0,144.0
178.0,86.0,20.0,90.0,40.0,38.9,38.9
179.0,60.0,20.0,50.0,20.0,22.5,90.0
180.0,65.0,0.0,50.0,20.0,0.0,0.0
181.0,79.0,0.0,60.0,20.0,8.6,17.2
182.0,75.0,10.0,50.0,20.0,22.55,22.55
183.0,45.0,0.0,50.0,20.0,0.0,0.0
184.0,53.0,20.0,70.0,20.0,38.5,38.5
185.0,81.0,20.0,90.0,20.0,37.733333333333334,56.6
186.0,59.0,20.0,10.0,40.0,18.36,22.95
187.0,62.0,40.0,30.0,40.0,180.0,180.0
188.0,49.0,0.0,60.0,20.0,18.0,18.0
189.0,49.0,10.0,60.0,20.0,30.2,90.6
190.0,115.0,30.0,50.0,20.0,30.8,123.2
191.0,45.0,0.0,50.0,20.0,0.8,0.8
192.0,51.0,0.0,90.0,20.0,9.4,9.4
193.0,40.0,0.0,50.0,20.0,0.0,0.0
194.0,58.0,110.0,20.0,80.0,35.0,35.0
195.0,45.0,140.0,50.0,40.0,198.0,198.0
196.0,43.0,10.0,70.0,20.0,1.6,1.6
197.0,45.0,120.0,50.0,80.0,190.0,63.333333333333336
198.0,63.0,80.0,70.0,60.0,45.06666666666667,67.6
199.0,45.0,90.0,50.0,20.0,126.4,126.4
200.0,39.0,0.0,60.0,20.0,0.0,0.0
201.0,54.0,40.0,60.0,20.0,64.4,64.4
202.0,58.0,110.0,70.0,40.0,129.8,64.9
203.0,70.0,110.0,50.0,40.0,33.36,83.4
204.0,54.0,30.0,60.0,20.0,19.2,38.4
205.0,44.0,0.0,60.0,20.0,0.0,0.0
206.0,48.0,50.0,70.0,20.0,20.2,20.2
207.0,43.0,0.0,70.0,20.0,0.0,0.0
208.0,53.0,20.0,70.0,20.0,12.0,12.0
209.0,59.0,0.0,60.0,20.0,0.0,0.0
210.0,45.0,0.0,50.0,20.0,0.0,0.0
211.0,45.0,140.0,50.0,20.0,198.0,99.0
212.0,47.0,0.0,80.0,20.0,0.0,0.0
213.0,54.0,30.0,60.0,40.0,14.9,9.933333333333334
214.0,45.0,140.0,50.0,80.0,198.0,198.0
215.0,45.0,140.0,50.0,40.0,198.0,198.0
216.0,45.0,120.0,50.0,80.0,186.6,186.6
217.0,43.0,0.0,70.0,20.0,0.0,0.0
218.0,40.0,0.0,50.0,20.0,0.0,0.0
219.0,45.0,0.0,50.0,20.0,2.6,2.6
220.0,45.0,0.0,50.0,20.0,0.0,0.0
221.0,45.0,0.0,50.0,20.0,0.0,0.0
222.0,40.0,0.0,50.0,20.0,0.0,0.0
223.0,65.0,60.0,50.0,20.0,25.4,101.6
224.0,44.0,0.0,60.0,40.0,22.2,22.2
225.0,68.0,0.0,70.0,20.0,0.0,0.0
226.0,49.0,120.0,60.0,60.0,144.0,72.0
227.0,69.0,0.0,60.0,20.0,0.0,0.0
228.0,55.0,0.0,50.0,20.0,0.0,0.0
229.0,51.0,140.0,90.0,80.0,180.0,180.0
230.0,50.0,160.0,50.0,20.0,99.0,66.0
231.0,50.0,130.0,50.0,40.0,180.0,180.0
232.0,46.0,150.0,40.0,40.0,192.6,64.2
233.0,49.0,30.0,60.0,20.0,13.0,13.0
234.0,54.0,90.0,60.0,80.0,48.0,28.8
235.0,58.0,120.0,70.0,20.0,45.2,45.2
236.0,49.0,70.0,60.0,40.0,91.4,91.4
237.0,49.0,50.0,60.0,20.0,15.4,30.8
238.0,80.0,30.0,50.0,20.0,12.4,49.6
239.0,42.0,30.0,80.0,20.0,55.6,55.6
240.0,48.0,130.0,70.0,40.0,135.8,135.8
241.0,74.0,100.0,60.0,100.0,37.2,55.8
242.0,40.0,0.0,50.0,20.0,0.0,0.0
243.0,40.0,30.0,50.0,20.0,18.0,18.0
244.0,56.0,140.0,40.0,40.0,43.95,58.6
245.0,57.0,120.0,30.0,20.0,46.9,62.53333333333334
246.0,44.0,0.0,60.0,20.0,2.0,2.0
247.0,45.0,30.0,50.0,40.0,55.2,55.2
248.0,45.0,20.0,50.0,20.0,9.2,9.2
249.0,40.0,0.0,50.0,20.0,0.0,0.0
250.0,45.0,0.0,50.0,20.0,0.0,0.0
251.0,60.0,0.0,50.0,20.0,0.2,0.2
252.0,40.0,0.0,50.0,20.0,0.0,0.0
253.0,40.0,0.0,50.0,20.0,0.0,0.0
254.0,60.0,70.0,50.0,40.0,86.4,86.4
255.0,45.0,0.0,50.0,20.0,0.0,0.0
256.0,45.0,0.0,50.0,20.0,0.4,0.4
257.0,45.0,0.0,50.0,20.0,0.0,0.0
258.0,40.0,0.0,50.0,20.0,0.0,0.0
259.0,50.0,0.0,50.0,20.0,0.0,0.0
260.0,40.0,0.0,50.0,20.0,0.0,0.0
261.0,50.0,180.0,50.0,20.0,198.0,198.0
262.0,54.0,70.0,60.0,40.0,77.2,77.2
263.0,52.0,20.0,80.0,40.0,19.0,38.0
264.0,44.0,0.0,60.0,20.0,0.0,0.0
265.0,40.0,0.0,50.0,20.0,0.0,0.0
266.0,108.0,160.0,20.0,60.0,23.375,93.5
267.0,49.0,0.0,60.0,20.0,0.0,0.0
268.0,53.0,120.0,70.0,40.0,119.0,39.66666666666667
269.0,39.0,100.0,60.0,20.0,103.0,103.0
270.0,53.0,100.0,70.0,20.0,137.2,137.2
271.0,65.0,180.0,50.0,40.0,48.8,65.06666666666666
272.0,58.0,50.0,70.0,20.0,25.8,8.6
273.0,66.0,110.0,90.0,20.0,60.3,120.6
274.0,70.0,60.0,100.0,20.0,39.1,26.06666666666667
275.0,44.0,0.0,60.0,20.0,11.8,11.8
276.0,65.0,110.0,100.0,60.0,65.6,65.6
277.0,48.0,110.0,70.0,60.0,126.0,126.0
278.0,49.0,180.0,60.0,60.0,96.7,193.4
279.0,49.0,0.0,60.0,20.0,0.0,0.0
280.0,43.0,70.0,70.0,20.0,72.0,72.0
281.0,43.0,0.0,70.0,20.0,0.0,0.0
282.0,48.0,60.0,70.0,40.0,76.4,76.4
283.0,71.0,40.0,90.0,20.0,10.4,10.4
284.0,48.0,130.0,70.0,20.0,112.4,56.2
285.0,47.0,70.0,80.0,40.0,67.4,67.4
286.0,45.0,0.0,50.0,20.0,3.4,3.4
287.0,40.0,0.0,50.0,20.0,0.0,0.0
288.0,60.0,60.0,50.0,20.0,68.4,68.4
289.0,55.0,0.0,50.0,20.0,0.0,0.0
290.0,45.0,0.0,50.0,20.0,0.0,0.0
291.0,45.0,180.0,50.0,80.0,198.0,99.0
292.0,43.0,120.0,70.0,20.0,44.8,89.6
293.0,54.0,120.0,60.0,20.0,55.7,55.7
294.0,63.0,100.0,70.0,100.0,50.8,152.4
295.0,51.0,180.0,90.0,20.0,195.4,97.7
296.0,77.0,120.0,80.0,40.0,43.6,29.06666666666667
297.0,45.0,60.0,50.0,60.0,54.7,109.4
298.0,48.0,110.0,70.0,40.0,144.0,72.0
299.0,54.0,0.0,60.0,20.0,4.2,4.2
300.0,48.0,40.0,70.0,60.0,60.2,60.2
301.0,43.0,50.0,70.0,20.0,18.0,18.0
